,importer_rank,importer_raw_name,importer_deduped_name
338,38,ROOM TO GO FURNITURE,ROOMS TO GO INC
339,38,ROOM TO GO P.R,ROOMS TO GO INC
340,38,ROOM TO GO PUERTO RICO,ROOMS TO GO INC
341,38,ROOM TO GO-PUERTO RICO,ROOMS TO GO INC
342,38,ROOMS TO G,ROOMS TO GO INC
343,38,ROOMS TO GO,ROOMS TO GO INC
344,38,ROOMS TO GO - PUERTO RICO,ROOMS TO GO INC
345,38,ROOMS TO GO -PR,ROOMS TO GO INC
346,38,ROOMS TO GO (PR),ROOMS TO GO INC
347,38,"ROOMS TO GO (PR), INC",ROOMS TO GO INC
348,38,"ROOMS TO GO (PR), INC.",ROOMS TO GO INC
349,38,"ROOMS TO GO (PR)., INC",ROOMS TO GO INC
350,38,ROOMS TO GO FURNITURE,ROOMS TO GO INC
351,38,ROOMS TO GO FURNITURE CORP,ROOMS TO GO INC
352,38,ROOMS TO GO FURNITURE CORP.,ROOMS TO GO INC
353,38,ROOMS TO GO FURNITURE CORPORATION,ROOMS TO GO INC
354,38,"ROOMS TO GO FURNITURE PR, INC.",ROOMS TO GO INC
355,38,ROOMS TO GO INC.,ROOMS TO GO INC
356,38,ROOMS TO GO P.R.,ROOMS TO GO INC
357,38,"ROOMS TO GO P.R., INC",ROOMS TO GO INC
358,38,ROOMS TO GO PR,ROOMS TO GO INC
359,38,ROOMS TO GO PR INC,ROOMS TO GO INC
360,38,ROOMS TO GO PR INC.,ROOMS TO GO INC
361,38,"ROOMS TO GO PR,",ROOMS TO GO INC
362,38,"ROOMS TO GO PR, INC",ROOMS TO GO INC
363,38,"ROOMS TO GO PR, INC.",ROOMS TO GO INC
364,38,"ROOMS TO GO PR,INC",ROOMS TO GO INC
365,38,"ROOMS TO GO PR,INC.",ROOMS TO GO INC
366,38,ROOMS TO GO PR.,ROOMS TO GO INC
367,38,ROOMS TO GO PUERTO RICO,ROOMS TO GO INC
368,38,ROOMS TO GO R.T.G. FURNITURE CORP,ROOMS TO GO INC
369,38,ROOMS TO GO-PR,ROOMS TO GO INC
370,38,ROOMS TO GO-PUERTO RICO,ROOMS TO GO INC
371,38,"ROOMS TO GO,",ROOMS TO GO INC
372,38,"ROOMS TO GO, INC.",ROOMS TO GO INC
373,38,ROOMS TO GO.,ROOMS TO GO INC
374,16,ANHEUSER BUSCH,ANHEUSER-BUSCH COMPANIES LLC
375,16,ANHEUSER BUSCH INC,ANHEUSER-BUSCH COMPANIES LLC
376,16,ANHEUSER BUSCH INC.,ANHEUSER-BUSCH COMPANIES LLC
377,16,ANHEUSER BUSCH LLC,ANHEUSER-BUSCH COMPANIES LLC
378,16,"ANHEUSER BUSCH, INC.",ANHEUSER-BUSCH COMPANIES LLC
379,16,"ANHEUSER BUSCH, LLC",ANHEUSER-BUSCH COMPANIES LLC
380,16,ANHEUSER-BUSCH,ANHEUSER-BUSCH COMPANIES LLC
